Top 20 accounts by ROI,,,,,,,,
total_positions,win_positions,win_rate,total_pnl,total_roi,sharpe_ratio,max_drawdown,Port_ID,Rank
108,63,0.583333333,-604059.0604,27.39837232,0.795475307,0.011677147,3.83E+18,1
14,6,0.428571429,6.650182561,13.58438783,0.8660188,0,3.77E+18,2
83,33,0.397590361,263.931146,3.444804952,0.806664192,0,3.98E+18,3
45,20,0.444444444,83192040.37,3.29210251,0.810307718,0,3.94E+18,4
28,20,0.714285714,6703182.321,2.991739197,1.346616962,0,3.96E+18,5
133,59,0.443609023,17054.17299,2.850302644,0.88993321,0,4.04E+18,6
321,123,0.38317757,4820.970005,2.461558131,0.785376712,0,4.03E+18,7
856,367,0.428738318,27074.2166,2.372680759,0.719654608,0,4.03E+18,8
311,93,0.29903537,-13942532.23,2.320118078,0.331460189,0.187660316,3.99E+18,9
89,43,0.483146067,2930369.229,2.100678782,0.953085824,0,4.04E+18,10
1249,931,0.745396317,109263784.5,2.093582318,0.584152447,0.078647327,3.89E+18,11
317,102,0.321766562,16802.91551,2.062641332,0.686298019,0,4.04E+18,12
20,6,0.3,669358471.1,2.054691756,0.595815584,0,3.94E+18,13
437,283,0.647597254,1483.216147,2.042827082,1.129692364,0,3.89E+18,14
43,14,0.325581395,348.2582381,1.92785454,0.685990931,0,3.98E+18,15
6052,2634,0.435228024,9895.029747,1.880755754,0.564839525,0.57338378,4.02E+18,16
627,251,0.400318979,-1509884.324,1.734832417,0.397173424,2.322899746,4.01E+18,17
327,181,0.55351682,170.4072859,1.608147861,1.102759777,0,4.04E+18,18
4137,2540,0.613971477,250519.9631,1.587446167,0.784621841,0.035486988,3.91E+18,19
483,200,0.414078675,41370374.19,1.528904711,0.17499736,0.956688554,3.91E+18,20
